,x,y,r_sq_daily,r_sq_yearly
102,surface_pressure,SW_down,0.203340641132,0.0282100608476
103,surface_pressure,rainfall,-0.326552947436,-0.576088577036
104,surface_pressure,snowfall,-0.15941685907,-0.623154969677
105,surface_pressure,sosaline,0.146592250181,-0.100383100708
106,surface_pressure,sst,-0.137992426877,0.0907975602494
107,surface_pressure,t2m,-0.00056227016467,0.0372478137941
108,surface_pressure,surface_pressure,1.0,1.0
109,surface_pressure,sea_ice_extent,0.171443654914,-0.0172160973487
110,sea_ice_extent,wind_10m,0.256761479945,-0.306944361094
111,sea_ice_extent,specific_humidity,-0.689271383987,-0.916678560607
112,sea_ice_extent,LW_down,-0.726412191748,-0.937555587888
113,sea_ice_extent,SW_down,-0.0677236444219,0.409710529
114,sea_ice_extent,rainfall,-0.745781065975,-0.627725101157
115,sea_ice_extent,snowfall,0.324235083914,0.386274138814
116,sea_ice_extent,sosaline,0.901110037742,0.0937392559567
117,sea_ice_extent,sst,-0.924020058909,-0.959213656646
118,sea_ice_extent,t2m,-0.692738399297,-0.942898970171
119,sea_ice_extent,surface_pressure,0.171443654914,-0.0172160973487
120,sea_ice_extent,sea_ice_extent,1.0,1.0
