,Day_num,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
211,211.0,-1.4746759456,1.85881920831,1.54417392934,0.834702524368,1.36760674661,-1.76384717983,-1.11287561563,1.72949790763,1.41815456518,-0.184145579915,-1.10009124994
212,212.0,-1.50019211329,1.85420598157,1.54052667024,0.807347475403,1.35363464261,-1.77194254394,-1.52089551334,1.69814937965,1.41361831515,-0.245469485209,-1.12722849553
213,213.0,-1.57794754618,1.84206815607,1.53812682469,0.773067413447,1.57075243449,-1.74094685792,-1.64148571971,1.69510619924,1.40716097245,-0.362473247904,-1.15608611318
214,214.0,-1.60160725056,1.82256753391,1.53744975305,0.744129586131,1.32865955512,-1.72630213495,-1.64148571971,1.7106760224,1.40116936877,-0.49904870005,-1.1787718992
215,215.0,-1.59187107431,1.81557050716,1.53594774113,0.716916352797,1.30748397474,-1.76829217954,-1.64148571971,1.7320524386,1.40128537971,-0.544152434782,-1.20015882076
216,216.0,-1.52136821755,1.80704324602,1.53617125655,0.678520881535,1.41172182733,-1.76075612194,-1.64148571971,1.74747215697,1.39527028687,-0.551989125853,-1.2209712546
217,217.0,-1.44921349174,1.79735695254,1.51864230084,0.651991422602,1.61553525876,-1.64477342026,-1.64148571971,1.75960229185,1.38384581618,-0.464301643566,-1.24404845973
218,218.0,-1.36394017975,1.76602173902,1.50259587137,0.639974118502,1.69261982469,-1.64056689689,-1.64148571971,1.77929689742,1.37205938516,-0.329711275875,-1.27052997237
219,219.0,-1.38939127351,1.74351649795,1.49144147467,0.617607906069,1.53039180867,-1.62862608711,-1.64148571971,1.80123766128,1.36588969044,-0.300895416091,-1.29146817545
220,220.0,-1.49396632639,1.73608985617,1.48984854047,0.59265602625,1.64250439324,-1.63376767681,-1.64148571971,1.82741908651,1.36549429387,-0.235226285474,-1.31219488952
221,221.0,-1.31962069651,1.73256851476,1.48541514647,0.557407181085,1.61712002669,-1.63613545695,-1.64148571971,1.84830470683,1.36531711555,-0.275266422487,-1.33727939831
222,222.0,-1.30923442909,1.71873058633,1.47532647582,0.526363491664,1.79652393113,-1.57677541951,-1.64148571971,1.87230136086,1.35891553218,-0.348056155476,-1.35671977819
223,223.0,-1.29705230882,1.68685780853,1.46601951229,0.49910671682,1.69254528492,-1.55817430525,-1.64148571971,1.89293278697,1.34607450164,-0.40113159838,-1.37397685337
224,224.0,-1.38989115278,1.67393600018,1.45661013977,0.476744318064,1.67141935599,-1.54702944418,-1.64148571971,1.91033165573,1.33654554444,-0.527410193984,-1.39491567308
225,225.0,-1.31772680195,1.66229146039,1.44637897412,0.457015460142,1.62203717991,-1.60422241594,-1.64148571971,1.92182310601,1.33018733224,-0.523338766873,-1.41224492585
